,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
0,25138,10,13,14,23,24,27,15
1,25137,02,08,11,23,27,29,05
2,25136,08,10,14,23,28,32,12
3,25135,01,02,05,09,25,32,10
4,25134,03,05,09,13,26,29,12
5,25133,05,14,17,19,20,33,07
6,25132,04,08,10,21,23,32,11
7,25131,03,13,14,18,24,31,03
8,25130,01,05,08,14,19,23,06
9,25129,03,04,07,13,20,30,03
10,25128,02,10,18,19,24,27,01
11,25127,03,09,15,17,19,28,03
12,25126,02,12,13,16,19,25,10
13,25125,03,09,12,13,26,32,09
14,25124,01,02,18,19,21,33,13
15,25123,07,09,23,24,25,26,10
16,25122,16,18,19,20,25,31,13
17,25121,06,08,10,25,29,30,08
18,25120,01,02,04,07,13,32,07
19,25119,06,09,23,26,28,32,11
20,25118,01,10,11,16,24,26,03
21,25117,06,08,17,20,25,33,10
22,25116,02,04,08,24,28,31,09
23,25115,02,03,08,19,24,30,02
24,25114,01,20,21,25,26,27,10
25,25113,08,10,13,15,24,31,16
26,25112,03,09,11,13,20,32,02
27,25111,09,14,18,28,31,33,12
28,25110,01,05,11,14,16,19,08
29,25109,05,06,09,17,18,31,03
30,25108,01,09,14,17,22,33,07
31,25107,02,03,10,15,25,33,13
32,25106,04,05,17,22,26,30,04
33,25105,04,07,18,24,26,28,08
34,25104,02,05,15,16,24,32,16
35,25103,13,16,21,25,28,31,16
36,25102,04,09,16,17,18,31,07
37,25101,05,08,09,10,16,21,05
38,25100,12,16,17,25,30,31,16
39,25099,09,11,15,17,22,26,14
40,25098,05,08,13,17,18,29,02
41,25097,03,05,16,23,26,31,14
42,25096,07,09,11,12,16,29,15
43,25095,15,16,22,23,26,32,04
44,25094,11,13,17,19,23,29,16
45,25093,09,11,12,24,25,26,10
46,25092,02,11,14,17,23,24,12
47,25091,03,04,17,19,25,27,14
48,25090,06,11,12,21,27,28,15
49,25089,04,06,08,18,31,33,05
50,25088,01,03,13,18,21,25,06
51,25087,02,06,14,15,24,26,08
52,25086,02,06,08,10,17,24,06
53,25085,11,14,15,18,21,24,13
54,25084,06,08,10,14,24,33,15
55,25083,10,15,16,17,27,29,12
56,25082,04,06,09,14,32,33,11
57,25081,03,06,18,20,23,28,05
58,25080,03,07,08,10,16,19,05
59,25079,08,11,14,15,30,32,05
60,25078,06,15,17,30,32,33,14
61,25077,04,07,08,15,20,21,15
62,25076,02,06,09,12,14,30,08
63,25075,10,12,14,19,20,21,15
64,25074,03,04,12,20,32,33,13
65,25073,02,07,10,27,30,33,11
66,25072,02,14,17,25,27,29,05
67,25071,01,12,18,23,25,28,07
68,25070,02,03,15,21,22,33,06
69,25069,02,04,19,23,27,30,05
70,25068,05,07,08,19,20,31,07
71,25067,01,05,10,17,20,22,05
72,25066,06,22,24,27,28,30,04
73,25065,06,10,13,14,15,20,11
74,25064,02,10,13,22,29,33,16
75,25063,02,19,21,22,28,30,01
76,25062,06,08,09,13,25,31,14
77,25061,06,07,09,10,11,32,09
78,25060,06,14,18,25,28,30,01
79,25059,04,10,11,12,13,24,01
